텍스트,감정
"난생 처음 남매여행, --투어 대만족이네여",행복
"호주 해변들은 다 예쁘다 강한 해 덕분에 수영하고 샤워하면 15분만에 머리가 다 마르는 매쥑",행복
"너무 예뻤던 본다이아이스버그",행복
"제일 좋았던 곳 보고 또 보고 5주 미국 끝",행복
"마음을 들키는 게 겁이 나",슬픔
"점점 마음을 숨기는 습관이 생겼어",슬픔
"그랬던 걸까",슬픔
"진짜 공감 너무 슬프다",슬픔
"너는 이러지마 진짜",슬픔
"위로가 필요한 친구에게 보여주세요",슬픔
"엉 따흑따 흑따흑따흑",슬픔
"친절함에 보답을 못해줄 망정 나의 친절함이 후회가 생기게 하는 사람과의 관계는 빨리 끊어버리세요",슬픔
"귀여웤ㅋㅋㅋㅋㅋㅋㅋㅋ",행복
"행복한 미소 좀 봐",행복
"덤벼라 세상아",분노
"분노의 4가지 유형",분노
"매우 화남",분노
"꼴랑 6초",분노
"분노한 프랑스 제빵사",분노
"더러운 성씨 탑5 알려드림",분노
"천둥 소리 같았어",분노
"욕처럼 들리는 해외언어",분노
"가끔은 누군가를 물어뜯고 싶어",분노
"이것만은 꺼내지 않으려고 했는데",분노
"성숙한 사람은 짜증내는 것도 다른 사람과 다릅니다.",분노
"남친이랑 커플링을 마줘야하는 이유",행복
"아니 도라에몽 주먹만 되는 거 아니었냐고",놀람
"와 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ",놀람
"축하드려요",놀람
"진짜 였네",놀람
"대박ㅋㅋㅋㅋㅋㅋㅋㅋ",놀람
"이웃집 아저씨 큰일날 뻔 하셨고!ㅋㅋㅋㅋㅋㅋㅋㅋ",놀람
"어우 소름 쫙돋으무ㅜㅜㅜㅜㅜ",놀람
"ㅋㅋㅋㅋㅋ신기하네",놀람
"헐 이게 뭐야..ㄷㄷㄷㄷㄷㄷㄷ",놀람
"세상 놀랍고 신기한 종의 세계",놀람
"역시 바퀴벌레가 지금까지 살아남은 이유가 있었구만",놀람
